score,movie_name,score_num,ranking
9.6,肖申克的救赎,,1
9.5,霸王别姬,,2
9.4,这个杀手不太冷,,3
9.4,阿甘正传,,4
9.5,美丽人生,,5
9.2,千与千寻,,6
9.4,辛德勒的名单,,7
9.2,泰坦尼克号,,8
9.3,盗梦空间,,9
9.3,机器人总动员,,10
9.2,海上钢琴师,,11
9.1,三傻大闹宝莱坞,,12
9.2,忠犬八公的故事,,13
9.2,放牛班的春天,,14
9.2,大话西游之大圣娶亲,,15
9.2,教父,,16
9.1,龙猫,,17
9.1,楚门的世界,,18
9.2,乱世佳人,,19
9.2,熔炉,,20
9.1,触不可及,,21
9.1,天堂电影院,,22
8.9,当幸福来敲门,,23
9.0,无间道,,24
9.1,星际穿越,,25
